abaiss[e];abaisse-langu[e],abaissement,abaisseur
pès[e];pesabl[e],pesad[e],pesag[e],pesanteur,peset[a],peset[te],peseur,peson,pessair[e],pess[e],pessim[isme],pessim[iste],pest[e],pest[er],pesteux,pesticid[e],pestifér[er],pestifér[é],pestilenc[e],pestilent,pestilentiel,pèse-acid[e],pèse-alcool,pèse-béb[é],pèse-espr[it],pèse-grain[s],pèse-l[ait],pèse-lettr[e],pèse-liqueur,pèse-moût,pèse-person[ne],pèse-sel,pèse-sirop,pèse-vin,pésèt[es]
pèz[e];péziz[e]
péag[e];péagist[e]
péan;péanien
péch[er];pécheress[e],pêcher[ie]
pécor[e];pecorino
pécu;peccabi[lité],peccabl[e],peccadill[e],peccamin[eux],pecc[ant],peccat[a],peccav[i],pechblend[e],pecorino,pecqu[e],pectas[e],pecten,pectin[e],pectin[é],pectiqu[e],pectoral,pectos[e],pécan,pécar[i],pécaïr[e],péch[er],pécheress[e],pécheur,péch[é],péclot[er],pécoptér[is],pécor[e],péculat,pécul[e],pécun[e],pécuniair[e],pécuniair[ement],pêchabl[e],pêch[ant],pêchard,pêch[e],pêch[er],pêcher[ie],pêchet[te],pêcheur
pécul[e];péculat
pécun[e];pécuniair[e],pécuniair[ement]
pédal;pédalag[e],pédaleur,pédalf[er],pédali[er],pédalo
pédal[e];pédalag[e],pédaleur,pédalf[er],pédali[er]
pédalo;pédalag[e],pédal[er],pédaleur,pédalf[er],pédali[er],pédal[ée]
pédan[e];pédanter[ie],pédantesqu[e],pédantesqu[ement],pédantis[er],pédant[isme]
péd[ant];pédanter[ie],pédantesqu[e],pédantesqu[ement],pédantis[er],pédant[isme]
pédicel[le];pédicellair[e]
pédicul[e];pédiculair[e],pédiculos[e]
pédicur[e];pédicurag[e]
péd[iment];pédiment[ation]
pédoncul[e];pédonculair[e]
pékin;pékinois,pékinologu[e]
pélamid[e];pélamidi[ère]
pélaud;pelaud[er]
pénal;penalty,pénalis[ant],pénalis[ation],pénalis[er]
pénich[e];pénichet[te]
pénicillin[e];pénicillinas[e],pénicillinorésist[ant],pénicilliném[ie]
péninsul[e];péninsulair[e]
pén[is];penicillium,pénibil[ité],pénibl[e],pénibl[ement],pénich[e],pénichet[te],pénicillinas[e],pénicillin[e],pénicillin[ique],pénicillinorésist[ant],pénicilliném[ie],pénicill[é],pénien,péninsulair[e],péninsul[e],pénitenc[e],pénitencer[ie],pénitenci[er],pénitent,pénitentiair[e],pénitential,pénitentiel
pénitenc[e];pénitencer[ie],pénitenci[er]
pénitent;pénitencer[ie],pénitenci[er],pénitentiair[e],pénitential,pénitentiel
péon;péonag[e]
pép[ie];pépi[ement],pépi[er],pépieur
pépin;pépini[ère],pépiniér[iste]
pépini[ère];pépiniér[iste]
pépon;péponid[e]
pépèr[e];péperin
péramèl[e];péramélid[és]
péren[ne];pérennis[ation],pérennis[er]
pér[i];péri-informaticien,péri-informat[ique],péri-urbain,péri-urétral,péri-utérin,périanth[e],périapex,périapical,périapsid[e],périarthrit[e],périartérit[e],périastr[e],péribol[e],péribuccal,péricard[e],péricard[ique],péricardit[e],péricarp[e],périchondr[e],périchondrit[e],périclas[ie],périclin[e],périclit[er],péricop[e],péricoronair[e],péricoronarit[e],péricrân[e],péricycl[e],péricycl[ique],périderm[e],péridinien[s],péridot,péridotit[e],péridrom[e],péridural,périf,périglaciair[e],périgourdin,périgu[eux],périg[ée],périhél[ie],périhépatit[e],péril,périll[eusement],périll[eux],périlog[ie],périlun[e],périlymph[e],périmaxillit[e],périm[er],périmètr[e],périm[é],périmétral,périmétr[ie],périmétr[ique],périnatal,périnatal[ité],périnatalog[ie],périnéal,périn[ée],périod[e],périodemètr[e],périod[icité],périod[ique],périod[iquement],périodis[ation],périodont[e],périodont[ie],périodontit[e],périodontoclas[ie],périonyx[is],périophtalm[e],périostal,périost[e],périost[ique],périostit[e],périostos[e],péripatéticien,péripatét[ique],péripatét[isme],périph,périphlébit[e],périphras[e],périphras[er],périphrast[ique],périphyton,périphér[ie],périphér[ique],péripl[e],péripneumon[ie],périptèr[e],péripét[ie],périscien[s],périscolair[e],périscop[e],périscop[ique],périscélid[e],périspermat[ique],périsperm[e],périsplénit[e],périsporiac[ées],périss[able],périssodactyl[es],périssoir[e],périssolog[ie],péristalt[ique],péristalt[isme],péristas[e],péristomal,péristom[e],péristomial,péristyl[e],péristyl[ique],péristèr[e],péristéraphil[e],péristéron[ique],périsystol[e],péritect[ique],péritel,péritext[e],périthèc[e],péritoin[e],péritonis[ation],péritonis[er],périton[isme],péritonit[e],péritonéal,péritonéoscop[ie],péritrachéen,péritroph[ique],pérityphlit[e],péritéléphon[ie],périurbain,périurétral,périutérin,périviscérit[e],périzonium,périœcien[s]
péricard[e];péricardit[e]
périchondr[e];périchondrit[e]
péridot;péridotit[e]
péril;périll[eusement],périll[eux],périlog[ie],périlun[e],périlymph[e]
périmètr[e];périmétral
périm[é];périmétral,périmétr[ie],périmétr[ique]
périnatal;périnatalog[ie]
périod[e];périodemètr[e],périodis[ation],périodont[e],périodont[ie],périodontit[e],périodontoclas[ie]
périodont[e];périodontit[e],périodontoclas[ie]
périost[e];périostal,périostit[e],périostos[e]
périphras[e];périphrast[ique]
périsperm[e];périspermat[ique]
péristom[e];péristomal,péristomial
péristèr[e];péristéraphil[e],péristéron[ique]
péritel;péritéléphon[ie]
périurbain;péri-urbain
périurétral;péri-urétral
périutérin;péri-utérin
péron[é];péronéo-tibial,péronéotibial
péronéotibial;péronéo-tibial
pétal[e];pétalair[e],pétaloïd[e]
pétanqu[e];pétanqueur
pét[ant];pétanqu[e],pétanqueur
pétard;pétardag[e],pétardi[er]
pétas[e];pétasit[e],pét[asse]
pétiol[e];pétiolair[e]
pétit[ion];pétitionnair[e],pétition[nement],pétition[ner]
pétoch[e];pétochard
pétr[as];pétrarquis[er],pétrarqu[isme],pétrarqu[iste]
pétr[i];pétricher[ie],pétrifi[ant],pétrif[ication],pétrifi[er],pétrin,pétriss[able],pétrissag[e],pétrisseur,pétriss[ée]
pétrol[e];pétrolag[e],pétrolatum,pétroler[ie],pétrolet[te],pétroli[er],pétrolifèr[e],pétrolochim[ie],pétrolochim[ique],pétrolog[ie],pétrolog[ique]
pétrol[er];pétroler[ie]
pétun;pétuni[a]
pét[é];pétéchial,pétéch[ie]
pêch[e];pechblend[e],péch[er],pécheress[e],pécheur,pêchabl[e],pêchard,pêcher[ie],pêchet[te],pêcheur
pêch[er];pécheress[e],pêcher[ie]
pên[e];penaill[e],penaill[eux],penaillon,penalty,penaud,pench[ant],pench[ement],pench[er],pendabl[e],pendag[e],pendagemètr[e],pendagemétr[ie],pendaison,pend[ant],pendard,pendeloqu[e],pendeloqu[er],pendent[if],pender[ie],pendeur,pendill[er],pendillon,pend[is],pendjab[i],pendoir,pendouill[er],pendouill[is],pendr[e],pendulair[e],pendul[e],pendul[er],pendulet[te],penicillium,pennag[e],pennatifid[e],pennatifoli[é],pennatul[e],pen[ne],penniform[e],pennon,pennonag[e],pennonceau,penny,pen[né],penon,pensabl[e],pens[ant],pense-bêt[e],pens[ement],pens[er],penseur,pensif,pension,pensionnair[e],pensionnat,pension[ner],pension[né],pensiv[ement],pensum,pens[é],pens[ée],pentaalcool,pentabromur[e],pentachlorur[e],pentacl[e],pentacord[e],pentacrin[e],pentacrinus,pentadactyl[e],pentadrachm[e],pentadécagon[e],pentagonal,pentagon[e],pentagramm[e],pentalcool,pentamèr[e],pentamètr[e],pentaméthylbenzèn[e],pentan[e],pentanol,pentapetal[é],pentapol[e],pentapétal[e],pentarch[ie],pentarch[ique],pentarqu[e],pentastyl[e],pentasulfur[e],pentasyllab[e],pentateuqu[e],pentathl[e],pentathlon,pentathlonien,pentatom[e],pentatom[ique],pentaton[ique],pentavalent,pentaèdr[e],pent[e],pentecôtal,pentecôt[e],pentecôt[isme],pentecôt[iste],penthiobarbital,penthotal,penthous[e],penthrit[e],penthémimèr[e],pentit[e],penti[ère],pentlandit[e],pentod[e],pentosan[e],pentos[e],pentrit[e],pentu,pentur[e],pentécostair[e],pentél[ique],pénal,pénal[ement],pénalis[ant],pénalis[ation],pénalis[er],pénal[iste],pénal[ité],pénard,pénard[ement],pénat[es],pénibil[ité],pénibl[e],pénibl[ement],pénich[e],pénichet[te],pénicillinas[e],pénicillin[e],pénicillin[ique],pénicillinorésist[ant],pénicilliném[ie],pénicill[é],pénien,pénil,péninsulair[e],péninsul[e],pén[is],pénitenc[e],pénitencer[ie],pénitenci[er],pénitent,pénitentiair[e],pénitential,pénitentiel,pénolog[ie],pénolog[ique],pénologu[e],pénombr[e],pénombr[eux],pénultièm[e],pénur[ie],pénéplain[e],pénéplan[ation],pénétr[abilité],pénétr[able],pénétr[ance],pénétr[ant],pénétr[ante],pénétr[ation],pénétr[er],pénétreur,pénétromètr[e]
pôl[e];polab[e],polack,polacr[e],polair[e],polak,polaqu[e],polar,polarimètr[e],polarimétr[ie],polarimétr[ique],polaris[abilité],polaris[able],polaris[ant],polaris[ateur],polaris[ation],polariscop[e],polaris[er],polariseur,polar[ité],polarograph[e],polarograph[ie],polarograph[ique],polaroïd,polastr[e],polatouch[e],pold[er],poldéris[ation],poldéris[er],polent[a],polhod[ie],poliad[e],polianit[e],polianth[es],polic[e],policeman,polic[er],polichinel[le],polici[er],policlin[ique],polignac,pol[iment],polio,polioencéphalit[e],poliomyélit[e],poliomyélit[ique],poliorcét[ique],poliovirus,pol[ir],polish,poliss[able],polissag[e],polisseur,polissoir,polissoir[e],polisson,polisson[ner],polissonner[ie],polissur[e],polist[e],politess[e],politicaill[er],politicailler[ie],politicailleur,politicaillon,politicard,politicien,polit[ique],politique-fict[ion],polit[iquement],politiqu[er],politis[ation],politis[er],polit[isme],polit[iste],politolog[ie],politologu[e],polj[e],polj[é],polk[a],polk[er],polkist[e],pollakiur[ie],pollen,pollex,pollicial,pollicit[ant],pollicit[ation],pollin[ie],pollinifèr[e],pollin[ique],pollinis[ateur],pollinis[ation],pollinis[er],pollinos[e],pollu[ant],pollu[er],pollueur,pollut[ion],pollénograph[ie],poloch[e],polochon,polon[ais],polonais[e],polonium,poloïst[e],poltron,poltronner[ie],polyacid[e],polyacrylat[e],polyacryl[ique],polyaddit[ion],polyadelph[e],polyadelph[ie],polyakèn[e],polyalcool,polyamid[e],polyamin[e],polyandr[e],polyandr[ie],polyandr[ique],polyarthrit[e],polyarticulair[e],polyatom[ique],polybas[ique],polyb[ie],polybutadièn[e],polybutylèn[e],polycamérat[ique],polycar[ie],polycentr[ique],polycentr[isme],polychlorur[e],polychlor[é],polychol[ie],polychrest[e],polychrom[e],polychrom[ie],polychrom[é],polychroïqu[e],polychroïsm[e],polychèt[es],polyclin[ique],polycolor[e],polycondensat,polycondens[ation],polycop[ie],polycopi[er],polycopi[euse],polycopi[é],polycor[ie],polycour[ant],polycultur[e],polycycl[ique],polycytogén[ie],polycéphal[e],polydactyl[e],polydactyl[ie],polydips[ie],polydysplas[ie],polydystroph[ie],polyembryon[ie],polyest[er],polyestérif[ication],polyfonctionnel,polygal[a],polygal[e],polygam[e],polygam[ie],polygam[ique],polyglobul[ie],polyglott[e],polyglott[isme],polyglycol,polygonac[ées],polygonal,polygon[ation],polygon[e],polygraph[e],polygraph[ie],polygraph[ique],polygyn[ie],polygén[ie],polygén[isme],polygén[iste],polygénés[ie],polyhybrid[e],polyisoprèn[e],polykyst[ique],polylob[e],polylob[é],polymodal,polymorph[e],polymorph[isme],polymultipli[é],polymèl[e],polymèr[e],polymél[ie],polyménorrh[ée],polyméras[e],polymér[ie],polymér[ique],polyméris[able],polyméris[ant],polymérisat,polyméris[ation],polyméris[er],polymétall[ique],polyméthacrylat[e],polyméthylèn[e],polyn[ie],polynucléair[e],polynucléos[e],polynucléotid[e],polynuclé[é],polynésien,polynévrit[e],polynôm[e],polyol,polyonych[ie],polyop[ie],polyorchid[ie],polyosid[e],polyostéochondrit[e],polypag[e],polyp[e],polypeptid[e],polypeptid[ique],polyp[eux],polyphag[e],polyphag[ie],polyphas[ique],polyphas[é],polyphon[e],polyphon[ie],polyphon[ique],polyphyodont[e],polypi[er],polyploïd[e],polyploïd[ie],polyploïdis[ation],polyploïdis[er],polypn[ée],polypné[ique],polypod[e],polypod[ie],polypor[e],polypor[ées],polypos[e],polypropylèn[e],polyprèn[e],polypsych[isme],polyptot[e],polyptyqu[e],polyptèr[e],polypétal[e],polyradiculonévrit[e],polyribosom[e],polyrythm[ie],polysaccharid[e],polysarc[ie],polyscop[e],polysial[ie],polysoc,polysom[e],polysom[ie],polysom[ique],polysperm[ie],polystyl[e],polystyrèn[e],polysubstitu[é],polysulfur[e],polysyllab[e],polysyllab[ique],polysyllab[isme],polysyllog[isme],polysyllogist[ique],polysyndèt[e],polysynod[ie],polysynthét[ique],polysynthét[isme],polysém[ie],polysém[ique],polysérit[e],polytax[ique],polytechnicien,polytechn[ique],polyterpèn[e],polyterpén[ique],polytherm[e],polythèn[e],polythèqu[e],polythé[isme],polythé[iste],polythél[ie],polytonal,polytonal[ité],polytop[isme],polytoxicoman[e],polytoxicoman[ie],polytransfus[é],polytraumatis[é],polytric,polytyp[ie],polytyp[ique],polytyp[isme],polyur[ie],polyur[ique],polyuréthan[e],polyuréthann[e],polyvaccin,polyvalenc[e],polyvalent,polyvalvulair[e],polyvinyl[e],polyvinyl[ique],polyvis[er],polyvis[ion],polyvitamin[ique],polyzoair[es],polyzoïc[ité],polyzoïqu[e],polyzoïsm[e],polyèdr[e],polyédr[ique],polyéth[er],polyéthylèn[e],polémarch[ie],polémarqu[e],polém[ique],polémiqu[er],polém[iste],polémograph[e],polémoin[e],polémolog[ie],polémolog[ique],polémologu[e],polémoniac[ées],polémon[ie]
pœcil[e];pœcilandr[ie],pœcilotherm[e]
quadragésim[e];quadragésimal
quadr[ant];quadrangl[e],quadrangulair[e]
quadrat;quadratin,quadratur[e]
quadrig[e];quadrigémellair[e]
quadrilatèr[e];quadrilatéral
quadrill[e];quadrillag[e],quadrillion
quadrimestr[e];quadrimestriel
quadripart[i];quadripartit[e],quadripartit[ion]
quadripôl[e];quadripolair[e]
quadrupl[e];quadruplet,quadruplet[te],quadruplex
quai;quaich[e]
quak[er];quakeress[e],quaker[isme],quaker[iste]
quant;quant-à-soi,quantifi[able],quantif[icateur],quantif[ication],quantifi[er],quantifieur,quantil[e],quantiqu[e],quantit[atif],quantit[ativement],quantitativ[iste],quantit[é],quantièm[e],quanton,quantum
quant[a];quant-à-soi
quant[e];quant-à-soi,quantifi[able],quantif[icateur],quantif[ication],quantifi[er],quantifieur,quantil[e],quantiqu[e],quantit[atif],quantit[ativement],quantitativ[iste],quantit[é],quantièm[e],quanton,quantum
quar[ante];quarantain[e],quarante-huitard,quarantenair[e],quaranteni[er],quarantièm[e],quarantièm[ement]
quart;quarantain[e],quar[ante],quarante-huitard,quarantenair[e],quaranteni[er],quarantièm[e],quarantièm[ement],quarderon[ner],quarrabl[e],quarr[er],quart-de-pouc[e],quart-de-rond,quartag[er],quartain[e],quartani[er],quartanni[er],quartat[ion],quartaut,quartefeuill[e],quartelet[te],quarteni[er],quarteron,quartet,quartet[te],quartet[tiste],quartid[i],quarti[er],quartier-maîtr[e],quartilag[e],quartil[e],quartiqu[e],quarto,quartz,quartzeux,quartzifèr[e],quartziqu[e],quartzit[e]
quart[e];quart-de-pouc[e],quart-de-rond,quartag[er],quartain[e],quartani[er],quartanni[er],quartat[ion],quartaut,quartefeuill[e],quartelet[te],quarteni[er],quarteron,quartet,quartet[te],quartet[tiste],quartid[i],quarti[er],quartier-maîtr[e],quartilag[e],quartil[e],quartiqu[e],quartzeux,quartzifèr[e],quartziqu[e],quartzit[e]
quart[er];quarteron
quarti[er];quartier-maîtr[e]
quartil[e];quartilag[e]
quarto;quart-de-pouc[e],quart-de-rond,quartag[er],quartain[e],quartani[er],quartanni[er],quartat[ion],quartaut,quartefeuill[e],quartelet[te],quarteni[er],quart[er],quarteron,quartet,quartet[te],quartet[tiste],quartid[i],quarti[er],quartier-maîtr[e],quartilag[e],quartil[e],quartiqu[e],quartzeux,quartzifèr[e],quartziqu[e],quartzit[e]
quartz;quartzeux,quartzifèr[e],quartziqu[e],quartzit[e]
quas[i];quasi-certitud[e],quasi-contrat,quasi-dél[it],quasi-usufruit,quasimodo
quat[er];quaternair[e],quatern[e],quaternion
quatern[e];quaternair[e],quaternion
quatorz[e];quatorzièm[e],quatorzièm[ement]
quatr[e];quatrain,quatre-cent-vingt-et-un,quatre-de-chiffr[e],quatre-feuill[es],quatre-heur[es],quatre-huit,quatre-mât[s],quatre-quart[s],quatre-quatr[e],quatre-saison[s],quatre-temp[s],quatre-vingtièm[e],quatre-vingt[s],quatre-épic[es],quatrièm[e],quatrièm[ement]
quatre-vingt[s];quatre-vingtièm[e]
quelqu[e];quelquefois,quelques-un[s]
querel[le];querelleur
question;questionnair[e],questionneur
queu[e];queue-de-carp[e],queue-de-cheval,queue-de-cochon,queue-de-lion,queue-de-moru[e],queue-de-mouton,queue-de-paon,queue-de-rat,queue-de-renard,queue-de-vach[e],queue-de-vinaigr[e],queue-roug[e]
queurs[e];queursag[e],queursoir
quich[e];quichenott[e],quichu[a]
quid;quidam,quiddit[atif],quiddit[é]
quiescent;quiescenc[e]
quill[e];quillaj[a],quillard,quillet[te],quilleur,quilli[er],quillon
quincaill[e];quincailler[ie],quincailli[er]
quinconc[e];quinconcial
quindécemv[ir];quindécemvirat
quin[e];quinair[e],quinaud,quincaill[e],quincailler[ie],quincailli[er],quincit[e],quinconc[e],quinconcial,quindécemv[ir],quindécemvirat,quinhydron[e],quinidin[e],quinin[e],quinin[isme],quinism[e],quinium,quino[a],quinol[a],quinoléin[e],quinolé[ique],quinon[e],quinon[ique],quinopyrin[e],quinotoxin[e],quinquagénair[e],quinquagésim[e],quinquennal,quinquennal[ité],quinquennat,quinquennium,quinquerc[e],quinquet,quinquin[a],quinquérèm[e],quintain[e],quintal,quintan[e],quint[e],quintefeuill[e],quintessenc[e],quintessenci[er],quintessenci[é],quintet[te],quinteus[ement],quinteux,quintid[i],quintil,quintillion,quintillionièm[e],quinto,quintolet,quintupl[e],quintupl[er],quintuplet[te],quintupl[és],quint[é],quinzain[e],quinz[e],quinze-vingt[s],quinzist[e],quinzièm[e],quinzièm[ement]
quint;quinair[e],quinaud,quincaill[e],quincailler[ie],quincailli[er],quincit[e],quinconc[e],quinconcial,quindécemv[ir],quindécemvirat,quinhydron[e],quinidin[e],quinin[e],quinin[isme],quinism[e],quinium,quino[a],quinol[a],quinoléin[e],quinolé[ique],quinon[e],quinon[ique],quinopyrin[e],quinotoxin[e],quinquagénair[e],quinquagésim[e],quinquennal,quinquennal[ité],quinquennat,quinquennium,quinquerc[e],quinquet,quinquin[a],quinquérèm[e],quintain[e],quintal,quintan[e],quintefeuill[e],quintessenc[e],quintessenci[er],quintessenci[é],quintet[te],quinteus[ement],quinteux,quintid[i],quintil,quintillion,quintillionièm[e],quinto,quintolet,quintupl[e],quintupl[er],quintuplet[te],quintupl[és],quinzain[e],quinz[e],quinze-vingt[s],quinzist[e],quinzièm[e],quinzièm[ement]
quint[e];quintain[e],quintal,quintan[e],quintefeuill[e],quintessenc[e],quintessenci[er],quintessenci[é],quintet[te],quinteus[ement],quinteux,quintid[i],quintil,quintillion,quintillionièm[e],quintolet,quintupl[e],quintupl[er],quintuplet[te],quintupl[és]
quintessenc[e];quintessenci[er],quintessenci[é]
quintil;quintillion,quintillionièm[e]
quintillion;quintillionièm[e]
quinto;quintain[e],quintal,quintan[e],quintefeuill[e],quintessenc[e],quintessenci[er],quintessenci[é],quintet[te],quinteus[ement],quinteux,quintid[i],quintil,quintillion,quintillionièm[e],quintolet,quintupl[e],quintupl[er],quintuplet[te],quintupl[és]
quintupl[e];quintuplet[te]
quinz[e];quinzain[e],quinze-vingt[s],quinzist[e],quinzièm[e],quinzièm[ement]
quipo;quipou,quiproquo
quipu;quipou,quiproquo
quirat;quiratair[e]
quirit[e];quiritair[e]
quit[e];quittanc[e],quittanc[er],quitt[e],quitt[er],quitus
quitt[e];quittanc[e],quittanc[er]
quitus;quittanc[e],quittanc[er],quitt[er]
quièt[e];quiétism[e],quiétist[e],quiétud[e]
quoi;quoiqu[e]
quotidien;quotidiennet[é]
quêt[e];quetsch[e],quetzal,quêteur
